epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.166,0.76961,2.24671,1.2352,0.7926,0.32521,0.51639,0.41665,0.82166,2.9888,1.20113,0.000235546,0.000235546,0.000235546
2,775.461,0.6915,1.24548,1.14582,0.6849,0.71789,0.61133,0.47151,0.82103,2.32988,1.2668,0.000379784,0.000379784,0.000379784
3,1166.53,0.67728,1.0665,1.12196,0.83709,0.73099,0.70313,0.54352,0.80635,2.00852,1.24968,0.000429774,0.000429774,0.000429774
4,1556.53,0.62237,0.94381,1.0875,0.82477,0.72101,0.75445,0.62513,0.72025,1.86162,1.17972,0.000289884,0.000289884,0.000289884
