epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.719,0.75992,2.19035,1.23191,0.82319,0.54073,0.57057,0.44983,0.83332,2.5582,1.26763,0.000235413,0.000235413,0.000235413
2,740.667,0.68002,1.20188,1.13152,0.76302,0.53605,0.60511,0.45673,0.92278,2.23613,1.34979,0.000379677,0.000379677,0.000379677
3,1116.05,0.66202,1.05993,1.11881,0.81166,0.59245,0.62587,0.50407,0.77026,2.09536,1.17222,0.000429693,0.000429693,0.000429693
4,2767.14,0.60405,0.92077,1.0718,0.77781,0.57699,0.61519,0.516,0.70111,2.08488,1.15126,0.000289884,0.000289884,0.000289884
5,4344.36,0.54982,0.8187,1.0408,0.77403,0.58859,0.69005,0.55996,0.69224,1.85479,1.15311,0.000148512,0.000148512,0.000148512
